City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Nabire,ID,80.83,overcast clouds,-3.3667,135.4833,
394,Atasu,KZ,73.0,overcast clouds,48.6814,71.6433,
395,Tall Kayf,TR,88.14,clear sky,37.0833,41.0667,
397,Lorengau,PG,84.4,scattered clouds,-2.0226,147.2712,
399,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,
400,Padang,ID,87.85,few clouds,-0.9492,100.3543,
401,Nantucket,US,78.91,mist,41.2835,-70.0995,
402,Isangel,VU,78.71,few clouds,-19.55,169.2667,
403,Payo,ID,90.12,broken clouds,-3.7508,103.6372,
404,Saint George,US,88.63,clear sky,37.1041,-113.5841,
405,Kahului,US,82.42,few clouds,20.8947,-156.47,
409,Esna,EG,90.48,scattered clouds,25.2934,32.554,
411,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,
413,Kuznechikha,RU,73.69,few clouds,57.2161,42.3348,
414,Touros,BR,71.13,clear sky,-5.1989,-35.4608,
415,Kijang,KR,89.44,broken clouds,35.2442,129.2139,
416,Ambilobe,MG,71.94,broken clouds,-13.2,49.05,
418,Madimba,TZ,71.06,clear sky,-10.4,40.3333,
420,Wanning,CN,85.32,heavy intensity rain,18.8003,110.3967,
421,Nianzishan,CN,86.9,broken clouds,47.5167,122.8833,
424,Tongliao,CN,90.9,broken clouds,43.6125,122.2653,
426,Ochakiv,UA,73.81,few clouds,46.6128,31.5498,
430,Tahe,CN,74.03,broken clouds,52.3333,124.7333,
431,Mago,RU,77.58,overcast clouds,53.2514,140.1822,
436,Kendari,ID,86.09,moderate rain,-3.945,122.4989,
437,Mahur,IN,76.66,overcast clouds,25.1667,93.1167,
441,San Policarpo,PH,83.52,overcast clouds,12.1791,125.5072,
444,Meybod,IR,89.31,clear sky,32.2501,54.0166,
446,Jalu,LY,79.45,clear sky,29.0331,21.5482,
451,Illela,NG,78.75,broken clouds,13.7292,5.2975,
456,Horta,PT,74.48,overcast clouds,38.5333,-28.6333,
457,Norwalk,US,81.75,clear sky,33.9022,-118.0817,
462,Gubkinskiy,RU,71.74,broken clouds,64.434,76.5026,
464,Mikhaylovka,RU,76.69,clear sky,50.06,43.2379,
465,Manaure,CO,80.64,scattered clouds,11.7751,-72.4445,
466,Marang,MY,84.07,overcast clouds,5.2056,103.2059,
467,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,
468,Iralaya,HN,77.74,overcast clouds,15.0,-83.2333,
469,Teavaro,PF,76.48,moderate rain,-17.5,-149.7667,
470,Sibolga,ID,85.33,broken clouds,1.7427,98.7792,
472,Damghan,IR,82.33,clear sky,36.1683,54.348,
473,Guerrero Negro,MX,71.31,few clouds,27.9769,-114.0611,
474,Potiskum,NG,73.26,broken clouds,11.7091,11.0694,
475,Jinchang,CN,86.13,broken clouds,38.4953,102.1739,
476,Pryazha,RU,71.58,few clouds,61.6926,33.6216,
477,Wajima,JP,84.69,overcast clouds,37.4,136.9,
479,Kure,JP,90.32,few clouds,34.2333,132.5667,
481,Srivardhan,IN,78.73,overcast clouds,18.0333,73.0167,
483,Key West,US,87.8,clear sky,24.5557,-81.7826,
484,Gaziantep,TR,82.33,clear sky,37.0594,37.3825,
485,North Platte,US,84.38,clear sky,41.1239,-100.7654,
486,Pitimbu,BR,70.39,clear sky,-7.4706,-34.8086,
487,Russkaya Polyana,UA,70.63,clear sky,49.417,31.9201,
488,Belyy Yar,RU,71.49,clear sky,53.6039,91.3903,
495,Nouakchott,MR,77.29,scattered clouds,18.0858,-15.9785,
496,Sabang,ID,82.87,overcast clouds,5.8933,95.3214,
499,Apac,UG,70.36,overcast clouds,1.9756,32.5386,
500,Nogales,MX,74.25,clear sky,31.3086,-110.9422,
501,Lanzhou,CN,90.95,few clouds,36.0564,103.7922,
502,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,
503,Winslow,US,75.38,clear sky,35.0242,-110.6974,
504,Bowen,AU,74.77,scattered clouds,-20.0167,148.2333,
