Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Edson,CA,53.5835,-116.4356,48.09,76,65,3.8,broken clouds
123,North Bend,US,43.4065,-124.2243,59.86,100,100,16.11,mist
124,Babushkin,RU,51.7122,105.8647,51.46,86,100,11.83,overcast clouds
125,Vilyuysk,RU,63.7553,121.6247,53.94,81,100,8.79,overcast clouds
126,Mahebourg,MU,-20.4081,57.7,73.26,61,2,10.18,clear sky
127,Ondjiva,AO,-17.0667,15.7333,58.06,39,0,8.1,clear sky
128,Baglung,NP,28.2719,83.5898,80.56,75,98,1.3,overcast clouds
129,Teguise,ES,29.0605,-13.564,68.22,83,0,18.41,clear sky
130,Lamin,GM,13.3522,-16.4339,77.04,90,98,4.88,overcast clouds
131,Port Moresby,PG,-9.4431,147.1797,82.44,78,99,13.87,overcast clouds
132,Cedar City,US,37.6775,-113.0619,68.4,59,17,5.57,few clouds
133,Ranong,TH,9.9658,98.6348,84.07,72,92,14.58,overcast clouds
134,Qasigiannguit,GL,68.8193,-51.1922,44.85,99,100,3.2,moderate rain
135,Batemans Bay,AU,-35.7167,150.1833,61.11,46,54,10.74,light rain
136,Sao Filipe,CV,14.8961,-24.4956,77.25,82,88,5.64,overcast clouds
137,Latehar,IN,23.75,84.5,90.45,54,100,5.06,overcast clouds
138,Shimoda,JP,34.6667,138.95,78.1,77,96,6.98,overcast clouds
139,Tual,ID,-5.6667,132.75,77.61,87,97,9.8,overcast clouds
140,Syracuse,IT,37.0881,15.2792,70.97,62,0,7.05,clear sky
141,Lensk,RU,60.7253,114.9278,61.03,63,94,10.2,overcast clouds
142,Mutis,CO,6.2262,-77.4044,76.62,90,100,5.53,light rain
143,Damietta,EG,31.4165,31.8133,79.92,71,3,9.42,clear sky
144,Chuy,UY,-33.6971,-53.4616,43.79,91,2,3.33,clear sky
145,Luganville,VU,-15.5333,167.1667,80.98,79,64,10.27,broken clouds
146,Rock Springs,US,41.5875,-109.2029,68.05,87,75,10.36,broken clouds
147,Forli,IT,44.2236,12.0528,79.63,57,0,4.83,clear sky
148,Carnarvon,AU,-24.8667,113.6333,68.88,37,0,7.07,clear sky
149,Revelstoke,CA,50.9832,-118.2023,55.94,76,45,2.15,scattered clouds
150,Lintangan,PH,7.2155,121.952,84.54,74,84,4.09,broken clouds
151,Canico,PT,32.6333,-16.85,71.71,83,75,16.11,broken clouds
152,Qandala,SO,11.472,49.8728,89.82,48,15,5.53,few clouds
153,Buluang,PH,13.3068,123.3425,77.74,92,100,5.46,light rain
154,Saint-Francois,FR,46.4154,3.9054,63.84,68,0,5.75,clear sky
155,Magomeni,TZ,-6.8,39.25,71.87,69,13,4.32,few clouds
156,Muravlenko,RU,63.7898,74.523,69.62,51,99,11.18,overcast clouds
157,Clemencia,CO,10.5665,-75.325,78.94,87,100,11.32,overcast clouds
158,Oeiras Do Para,BR,-2.0031,-49.8544,73.6,93,29,3.09,scattered clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,62.67,59,89,13.2,overcast clouds
160,Takoradi,GH,4.8845,-1.7554,71.58,86,22,4.52,few clouds
161,Canaway,PH,13.3185,123.7131,77.63,83,100,5.68,overcast clouds
162,Carutapera,BR,-1.195,-46.02,75.45,88,5,7.16,clear sky
163,Dikson,RU,73.5069,80.5464,41.97,99,100,11.25,overcast clouds
